CustomerID,orderID,Item,period
1,1,S,"(30, 32)"
1,2,M,"(60, 65)"
1,3,T,"(60, 67)"
1,4,S,"(60, 62)"
1,5,M,"(40, 38)"
1,6,T,"(30, 30)"
1,7,S,"(30, 26)"
1,8,T,"(30, 28)"
1,9,M,"(100, 96)"
1,10,S,"(100, 97)"
1,11,T,"(40, 40)"
1,12,T,"(30, 28)"
1,13,T,"(30, 28)"
2,14,T,"(75, 71)"
2,15,S,"(75, 83)"
2,16,S,"(75, 66)"
2,17,T,"(60, 58)"
2,18,T,"(75, 65)"
2,19,T,"(75, 80)"
2,20,T,"(75, 79)"
2,21,S,"(100, 100)"
2,22,M,"(30, 35)"
2,23,S,"(75, 72)"
2,24,S,"(30, 28)"
2,25,S,"(60, 59)"
2,26,S,"(40, 35)"
2,27,S,"(30, 25)"
2,28,T,"(60, 70)"
3,29,T,"(30, 18)"
3,30,M,"(30, 26)"
3,31,T,"(30, 24)"
3,32,S,"(100, 95)"
3,33,T,"(100, 107)"
3,34,S,"(30, 27)"
3,35,T,"(75, 72)"
3,36,M,"(75, 72)"
3,37,M,"(100, 103)"
3,38,M,"(30, 33)"
3,39,T,"(75, 72)"
4,40,M,"(60, 68)"
4,41,M,"(60, 53)"
4,42,S,"(30, 36)"
4,43,M,"(30, 28)"
4,44,S,"(30, 27)"
4,45,T,"(60, 65)"
4,46,M,"(75, 72)"
4,47,M,"(75, 79)"
4,48,T,"(100, 104)"
4,49,M,"(60, 57)"
4,50,M,"(30, 34)"
4,51,T,"(30, 31)"
4,52,M,"(40, 35)"
4,53,S,"(60, 62)"
5,54,M,"(60, 69)"
5,55,M,"(40, 43)"
5,56,M,"(100, 95)"
5,57,T,"(30, 25)"
5,58,M,"(60, 67)"
5,59,T,"(60, 55)"
5,60,M,"(100, 103)"
5,61,T,"(100, 92)"
5,62,M,"(30, 32)"
5,63,S,"(100, 100)"
5,64,S,"(75, 82)"
5,65,S,"(100, 99)"
5,66,T,"(60, 61)"
5,67,S,"(75, 78)"
5,68,S,"(75, 85)"
5,69,T,"(40, 37)"
6,70,S,"(60, 59)"
6,71,M,"(40, 37)"
6,72,S,"(75, 71)"
6,73,T,"(100, 108)"
6,74,S,"(30, 21)"
6,75,S,"(60, 71)"
6,76,S,"(100, 95)"
6,77,M,"(60, 63)"
6,78,S,"(30, 29)"
6,79,S,"(40, 38)"
6,80,S,"(100, 99)"
6,81,M,"(75, 86)"
6,82,S,"(75, 72)"
7,83,T,"(30, 32)"
7,84,S,"(75, 78)"
7,85,M,"(100, 104)"
7,86,M,"(30, 36)"
7,87,M,"(40, 43)"
7,88,T,"(30, 30)"
7,89,T,"(100, 104)"
7,90,S,"(60, 57)"
7,91,T,"(30, 30)"
7,92,T,"(40, 35)"
7,93,M,"(75, 77)"
7,94,S,"(75, 76)"
7,95,S,"(100, 98)"
8,96,S,"(100, 94)"
8,97,S,"(30, 30)"
8,98,M,"(100, 99)"
8,99,T,"(30, 26)"
8,100,M,"(40, 44)"
8,101,S,"(40, 42)"
8,102,S,"(30, 23)"
8,103,M,"(60, 67)"
8,104,M,"(40, 37)"
8,105,T,"(30, 31)"
8,106,T,"(40, 34)"
9,107,M,"(60, 64)"
9,108,S,"(100, 105)"
9,109,T,"(60, 61)"
9,110,S,"(100, 101)"
9,111,M,"(100, 105)"
9,112,M,"(30, 32)"
9,113,S,"(30, 30)"
9,114,M,"(100, 105)"
9,115,S,"(40, 37)"
9,116,T,"(30, 35)"
9,117,S,"(60, 64)"
9,118,S,"(30, 42)"
9,119,T,"(40, 40)"
10,120,M,"(30, 29)"
10,121,T,"(30, 29)"
10,122,T,"(30, 30)"
10,123,M,"(40, 36)"
10,124,M,"(30, 35)"
10,125,S,"(30, 23)"
10,126,M,"(30, 24)"
10,127,S,"(100, 103)"
10,128,M,"(40, 32)"
10,129,T,"(60, 58)"
10,130,S,"(60, 51)"
10,131,T,"(75, 77)"
10,132,T,"(75, 67)"
11,133,S,"(100, 97)"
11,134,S,"(100, 105)"
11,135,S,"(60, 59)"
11,136,S,"(75, 65)"
11,137,T,"(60, 65)"
11,138,M,"(60, 60)"
11,139,M,"(60, 67)"
11,140,T,"(60, 62)"
11,141,M,"(100, 93)"
11,142,T,"(100, 94)"
11,143,S,"(100, 97)"
11,144,T,"(60, 65)"
11,145,M,"(100, 96)"
11,146,S,"(100, 93)"
11,147,M,"(60, 71)"
11,148,T,"(30, 27)"
11,149,T,"(60, 62)"
11,150,S,"(30, 39)"
11,151,S,"(100, 105)"
12,152,M,"(100, 101)"
12,153,T,"(60, 64)"
12,154,S,"(100, 95)"
12,155,M,"(40, 42)"
12,156,S,"(100, 100)"
12,157,S,"(60, 58)"
12,158,S,"(40, 47)"
12,159,S,"(60, 53)"
12,160,M,"(75, 81)"
12,161,T,"(60, 63)"
12,162,T,"(100, 105)"
12,163,M,"(100, 106)"
12,164,M,"(75, 72)"
12,165,S,"(100, 100)"
12,166,T,"(30, 25)"
12,167,M,"(40, 37)"
12,168,M,"(30, 32)"
12,169,M,"(30, 27)"
13,170,M,"(60, 52)"
13,171,T,"(30, 24)"
13,172,T,"(30, 39)"
13,173,T,"(40, 32)"
13,174,T,"(60, 63)"
13,175,M,"(30, 20)"
13,176,S,"(60, 53)"
13,177,T,"(100, 101)"
13,178,M,"(30, 36)"
13,179,M,"(30, 20)"
13,180,T,"(60, 56)"
13,181,T,"(75, 75)"
13,182,M,"(30, 30)"
13,183,M,"(30, 34)"
14,184,M,"(60, 49)"
14,185,M,"(30, 37)"
14,186,T,"(30, 26)"
14,187,T,"(30, 39)"
14,188,T,"(60, 55)"
14,189,S,"(100, 97)"
14,190,T,"(60, 59)"
14,191,T,"(40, 36)"
14,192,T,"(30, 31)"
14,193,T,"(30, 26)"
15,194,M,"(30, 36)"
15,195,M,"(100, 104)"
15,196,T,"(30, 24)"
15,197,M,"(75, 72)"
15,198,S,"(75, 77)"
15,199,S,"(100, 110)"
15,200,T,"(75, 83)"
15,201,T,"(100, 101)"
15,202,T,"(75, 70)"
15,203,T,"(40, 42)"
15,204,T,"(60, 60)"
15,205,S,"(100, 113)"
16,206,M,"(30, 29)"
16,207,M,"(100, 101)"
16,208,S,"(100, 99)"
16,209,M,"(100, 96)"
16,210,M,"(100, 95)"
16,211,T,"(30, 33)"
16,212,T,"(60, 71)"
16,213,S,"(60, 56)"
16,214,S,"(100, 101)"
16,215,S,"(60, 61)"
16,216,T,"(100, 105)"
16,217,T,"(30, 32)"
16,218,S,"(60, 65)"
17,219,O,"(30, 39)"
17,220,P,"(30, 31)"
17,221,O,"(75, 84)"
17,222,N,"(100, 102)"
17,223,N,"(75, 72)"
17,224,P,"(100, 91)"
17,225,N,"(100, 91)"
17,226,N,"(60, 59)"
