,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U
A,444,72,425,69,60,72,61,62,70,81,389,76,77,66,60,68,66,73,84,74,69
B,79,380,71,56,370,336,59,63,68,68,75,59,58,81,61,62,375,350,62,63,73
C,434,74,414,67,68,83,71,88,56,58,395,73,93,63,56,70,67,98,71,69,67
D,59,68,55,201,56,56,172,196,53,75,77,189,56,53,55,68,54,55,53,67,58
E,81,337,78,68,337,350,45,75,79,86,63,73,65,48,66,47,326,360,72,71,61
F,68,319,66,56,331,365,54,67,74,66,76,61,87,77,50,64,328,349,58,67,69
G,57,62,55,188,57,62,173,191,48,57,77,196,78,51,45,48,47,70,59,56,51
H,59,52,59,178,59,62,196,176,50,69,75,170,57,55,64,61,51,69,57,79,52
I,64,57,55,46,62,51,44,52,867,62,53,44,59,56,37,60,59,62,55,51,53
J,81,89,87,68,73,84,71,63,60,1103,81,54,79,64,69,65,75,79,74,67,73
K,379,73,457,65,66,72,71,65,74,86,392,51,78,64,76,71,61,77,92,63,66
L,59,66,59,185,56,59,180,183,55,67,59,196,63,64,65,48,69,46,66,66,54
M,106,125,122,79,91,114,85,91,77,117,113,105,646,107,88,84,96,108,573,638,100
N,75,81,89,85,85,95,61,76,73,104,85,67,87,473,430,77,77,88,87,84,484
O,86,106,85,76,74,83,86,80,87,84,84,75,92,465,456,71,77,79,70,94,467
P,50,69,59,61,52,56,53,61,56,51,63,53,47,298,332,294,46,62,51,74,57
Q,78,351,85,70,371,332,72,53,71,76,69,74,80,57,50,70,376,392,84,71,67
R,83,462,97,72,459,429,77,80,78,92,98,78,93,77,76,75,437,427,72,70,78
S,115,100,95,106,110,125,104,92,83,97,118,92,580,103,103,96,87,108,595,598,90
T,103,122,100,117,102,107,100,101,90,98,115,105,589,80,110,80,83,101,597,628,81
U,83,81,85,85,84,92,71,72,78,78,72,71,67,449,429,87,65,79,71,85,408
