CustomerID,gender,age,job,marital,province,city,size,exchange,orderID,Item,period,item_group
4,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),66,5.3,18,C,68.0,GA
4,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),66,5.3,19,C,71.0,GA
4,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),66,5.3,20,M,66.0,GD
5,FEMALE,50대,전문직,MARRIED,서울시,강북구,66,3.8,25,K,77.0,GA
5,FEMALE,50대,전문직,MARRIED,서울시,강북구,66,3.8,26,R,32.0,GB
16,FEMALE,20대,학생,SINGLE,광주시,서구(광주),44,4.6,103,A,101.0,GA
16,FEMALE,20대,학생,SINGLE,광주시,서구(광주),44,4.6,104,Q,37.0,GB
21,FEMALE,40대,직장인,MARRIED,서울시,마포구,44,2.7,135,A,100.0,GA
21,FEMALE,40대,직장인,MARRIED,서울시,마포구,44,2.7,136,E,61.0,GB
25,FEMALE,40대,전문직,MARRIED,대구시,달서구,44,3.7,156,C,71.0,GA
25,FEMALE,40대,전문직,MARRIED,대구시,달서구,44,3.7,157,D,49.0,GC
38,FEMALE,60대 이상,직장인,MARRIED,대구시,중구(대구),44,3.2,240,K,62.0,GA
38,FEMALE,60대 이상,직장인,MARRIED,대구시,중구(대구),44,3.2,241,I,104.0,GF
45,FEMALE,20대,직장인,MARRIED,전라도,익산시,66,2.4,280,A,91.0,GA
45,FEMALE,20대,직장인,MARRIED,전라도,익산시,66,2.4,281,U,29.0,GE
49,FEMALE,30대,직장인,SINGLE,대구시,수성구,77,6.0,307,K,77.0,GA
49,FEMALE,30대,직장인,SINGLE,대구시,수성구,77,6.0,308,C,77.0,GA
52,FEMALE,50대,전문직,MARRIED,대구시,중구(대구),44,3.9,329,A,97.0,GA
52,FEMALE,50대,전문직,MARRIED,대구시,중구(대구),44,3.9,330,A,105.0,GA
67,FEMALE,40대,직장인,MARRIED,서울시,강남구,55,4.5,433,K,81.0,GA
67,FEMALE,40대,직장인,MARRIED,서울시,강남구,55,4.5,434,S,30.0,GD
71,FEMALE,20대,직장인,MARRIED,경기도,평택시,55,2.0,456,K,71.0,GA
71,FEMALE,20대,직장인,MARRIED,경기도,평택시,55,2.0,457,A,99.0,GA
71,FEMALE,20대,직장인,MARRIED,경기도,평택시,55,2.0,458,C,75.0,GA
72,FEMALE,30대,직장인,SINGLE,서울시,강남구,66,5.5,463,C,71.0,GA
72,FEMALE,30대,직장인,SINGLE,서울시,강남구,66,5.5,464,J,61.0,GF
74,FEMALE,30대,직장인,MARRIED,서울시,강남구,55,6.2,478,K,69.0,GA
74,FEMALE,30대,직장인,MARRIED,서울시,강남구,55,6.2,479,C,76.0,GA
76,FEMALE,30대,직장인,MARRIED,대구시,달성군,44,3.6,490,C,62.0,GA
76,FEMALE,30대,직장인,MARRIED,대구시,달성군,44,3.6,491,P,33.0,GE
78,FEMALE,20대,자영업,SINGLE,광주시,북구(광주),55,6.0,505,A,101.0,GA
78,FEMALE,20대,자영업,SINGLE,광주시,북구(광주),55,6.0,506,A,102.0,GA
78,FEMALE,20대,자영업,SINGLE,광주시,북구(광주),55,6.0,507,C,80.0,GA
78,FEMALE,20대,자영업,SINGLE,광주시,북구(광주),55,6.0,508,S,36.0,GD
107,FEMALE,30대,직장인,SINGLE,광주시,남구(광주),44,4.7,698,A,101.0,GA
107,FEMALE,30대,직장인,SINGLE,광주시,남구(광주),44,4.7,699,S,27.0,GD
108,FEMALE,30대,직장인,MARRIED,경상도,북구(포항시),44,3.1,703,K,71.0,GA
108,FEMALE,30대,직장인,MARRIED,경상도,북구(포항시),44,3.1,704,A,93.0,GA
111,FEMALE,20대,계약직,SINGLE,서울시,양천구,44,5.0,719,C,73.0,GA
111,FEMALE,20대,계약직,SINGLE,서울시,양천구,44,5.0,720,A,98.0,GA
111,FEMALE,20대,계약직,SINGLE,서울시,양천구,44,5.0,721,C,79.0,GA
118,FEMALE,40대,직장인,MARRIED,대구시,북구(대구),55,3.8,764,A,89.0,GA
118,FEMALE,40대,직장인,MARRIED,대구시,북구(대구),55,3.8,765,A,97.0,GA
118,FEMALE,40대,직장인,MARRIED,대구시,북구(대구),55,3.8,766,L,99.0,GC
120,FEMALE,50대,전문직,SINGLE,경상도,함안군,44,5.5,775,C,77.0,GA
120,FEMALE,50대,전문직,SINGLE,경상도,함안군,44,5.5,776,N,97.0,GE
120,FEMALE,50대,전문직,SINGLE,경상도,함안군,44,5.5,777,C,80.0,GA
120,FEMALE,50대,전문직,SINGLE,경상도,함안군,44,5.5,778,K,74.0,GA
120,FEMALE,50대,전문직,SINGLE,경상도,함안군,44,5.5,779,M,63.0,GD
128,FEMALE,50대,자영업,MARRIED,충청도,충주시,55,3.3,836,K,76.0,GA
128,FEMALE,50대,자영업,MARRIED,충청도,충주시,55,3.3,837,Q,29.0,GB
129,FEMALE,30대,직장인,SINGLE,충청도,진천군,55,5.6,840,C,76.0,GA
129,FEMALE,30대,직장인,SINGLE,충청도,진천군,55,5.6,841,E,54.0,GB
134,FEMALE,50대,계약직,SINGLE,경상도,하동군,55,5.3,878,K,68.0,GA
134,FEMALE,50대,계약직,SINGLE,경상도,하동군,55,5.3,879,K,69.0,GA
134,FEMALE,50대,계약직,SINGLE,경상도,하동군,55,5.3,880,M,63.0,GD
141,FEMALE,60대 이상,직장인,SINGLE,광주시,북구(광주),44,4.8,924,K,74.0,GA
141,FEMALE,60대 이상,직장인,SINGLE,광주시,북구(광주),44,4.8,925,K,75.0,GA
141,FEMALE,60대 이상,직장인,SINGLE,광주시,북구(광주),44,4.8,926,C,76.0,GA
142,FEMALE,20대,전문직,MARRIED,전라도,광양시,55,4.9,929,C,77.0,GA
142,FEMALE,20대,전문직,MARRIED,전라도,광양시,55,4.9,930,K,72.0,GA
142,FEMALE,20대,전문직,MARRIED,전라도,광양시,55,4.9,931,K,75.0,GA
142,FEMALE,20대,전문직,MARRIED,전라도,광양시,55,4.9,932,T,37.0,GD
145,FEMALE,20대,직장인,SINGLE,대구시,달서구,55,5.1,949,K,72.0,GA
145,FEMALE,20대,직장인,SINGLE,대구시,달서구,55,5.1,950,K,72.0,GA
145,FEMALE,20대,직장인,SINGLE,대구시,달서구,55,5.1,951,H,74.0,GC
149,FEMALE,50대,전문직,MARRIED,경기도,화성시,77,4.7,979,C,50.5,GA
