CustomerID,gender,age,job,marital,province,city,size,exchange,orderID,Item,period,item_group
14,FEMALE,40대,직장인,SINGLE,광주시,서구(광주),55,6.9,92,H,80.0,GC
14,FEMALE,40대,직장인,SINGLE,광주시,서구(광주),55,6.9,93,F,39.0,GB
21,FEMALE,40대,직장인,MARRIED,서울시,마포구,44,2.7,134,L,97.0,GC
21,FEMALE,40대,직장인,MARRIED,서울시,마포구,44,2.7,135,A,100.0,GA
23,FEMALE,30대,직장인,MARRIED,충청도,홍성군,66,2.5,146,H,75.0,GC
23,FEMALE,30대,직장인,MARRIED,충청도,홍성군,66,2.5,147,B,101.0,GB
25,FEMALE,40대,전문직,MARRIED,대구시,달서구,44,3.7,157,D,49.0,GC
25,FEMALE,40대,전문직,MARRIED,대구시,달서구,44,3.7,158,G,80.0,GC
25,FEMALE,40대,전문직,MARRIED,대구시,달서구,44,3.7,159,D,63.0,GC
25,FEMALE,40대,전문직,MARRIED,대구시,달서구,44,3.7,160,S,34.0,GD
28,FEMALE,50대,직장인,MARRIED,대구시,달성군,44,4.5,176,L,103.0,GC
28,FEMALE,50대,직장인,MARRIED,대구시,달성군,44,4.5,177,D,57.0,GC
28,FEMALE,50대,직장인,MARRIED,대구시,달성군,44,4.5,178,I,105.0,GF
31,FEMALE,20대,직장인,SINGLE,전라도,곡성군,44,5.3,194,D,61.0,GC
31,FEMALE,20대,직장인,SINGLE,전라도,곡성군,44,5.3,195,H,65.0,GC
31,FEMALE,20대,직장인,SINGLE,전라도,곡성군,44,5.3,196,L,97.0,GC
31,FEMALE,20대,직장인,SINGLE,전라도,곡성군,44,5.3,197,G,78.0,GC
31,FEMALE,20대,직장인,SINGLE,전라도,곡성군,44,5.3,198,U,32.0,GE
40,FEMALE,30대,직장인,SINGLE,서울시,양천구,66,6.0,252,D,61.0,GC
40,FEMALE,30대,직장인,SINGLE,서울시,양천구,66,6.0,253,I,102.0,GF
42,FEMALE,40대,직장인,MARRIED,광주시,서구(광주),66,4.8,266,D,60.0,GC
42,FEMALE,40대,직장인,MARRIED,광주시,서구(광주),66,4.8,267,A,103.0,GA
43,FEMALE,40대,직장인,SINGLE,충청도,진천군,44,4.3,271,H,69.0,GC
43,FEMALE,40대,직장인,SINGLE,충청도,진천군,44,4.3,272,H,78.0,GC
43,FEMALE,40대,직장인,SINGLE,충청도,진천군,44,4.3,273,E,63.0,GB
44,FEMALE,50대,자영업,MARRIED,충청도,진천군,66,4.5,277,L,102.0,GC
44,FEMALE,50대,자영업,MARRIED,충청도,진천군,66,4.5,278,R,43.0,GB
46,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),44,3.2,284,L,98.0,GC
46,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),44,3.2,285,G,72.0,GC
46,FEMALE,40대,전문직,MARRIED,광주시,서구(광주),44,3.2,286,M,57.0,GD
56,FEMALE,30대,직장인,MARRIED,서울시,마포구,55,3.0,350,D,54.0,GC
56,FEMALE,30대,직장인,MARRIED,서울시,마포구,55,3.0,351,L,100.0,GC
56,FEMALE,30대,직장인,MARRIED,서울시,마포구,55,3.0,352,D,57.0,GC
56,FEMALE,30대,직장인,MARRIED,서울시,마포구,55,3.0,353,G,75.0,GC
56,FEMALE,30대,직장인,MARRIED,서울시,마포구,55,3.0,354,L,89.0,GC
60,FEMALE,60대 이상,자영업,SINGLE,충청도,진천군,66,6.0,377,D,63.0,GC
60,FEMALE,60대 이상,자영업,SINGLE,충청도,진천군,66,6.0,378,L,102.0,GC
60,FEMALE,60대 이상,자영업,SINGLE,충청도,진천군,66,6.0,379,P,34.0,GE
64,FEMALE,30대,전문직,SINGLE,대구시,달서구,44,5.9,411,G,72.0,GC
64,FEMALE,30대,전문직,SINGLE,대구시,달서구,44,5.9,412,I,97.0,GF
69,FEMALE,60대 이상,전문직,MARRIED,광주시,북구(광주),44,1.3,445,H,74.0,GC
69,FEMALE,60대 이상,전문직,MARRIED,광주시,북구(광주),44,1.3,446,G,66.0,GC
69,FEMALE,60대 이상,전문직,MARRIED,광주시,북구(광주),44,1.3,447,G,70.0,GC
69,FEMALE,60대 이상,전문직,MARRIED,광주시,북구(광주),44,1.3,448,U,21.0,GE
72,FEMALE,30대,직장인,SINGLE,서울시,강남구,66,5.5,465,D,55.0,GC
72,FEMALE,30대,직장인,SINGLE,서울시,강남구,66,5.5,466,D,66.0,GC
76,FEMALE,30대,직장인,MARRIED,대구시,달성군,44,3.6,489,D,54.0,GC
76,FEMALE,30대,직장인,MARRIED,대구시,달성군,44,3.6,490,C,62.0,GA
85,FEMALE,60대 이상,계약직,MARRIED,대구시,달성군,55,3.6,552,H,72.0,GC
85,FEMALE,60대 이상,계약직,MARRIED,대구시,달성군,55,3.6,553,E,64.0,GB
86,FEMALE,60대 이상,자영업,SINGLE,경기도,포천시,66,5.8,555,G,74.0,GC
86,FEMALE,60대 이상,자영업,SINGLE,경기도,포천시,66,5.8,556,D,56.0,GC
86,FEMALE,60대 이상,자영업,SINGLE,경기도,포천시,66,5.8,557,H,74.0,GC
86,FEMALE,60대 이상,자영업,SINGLE,경기도,포천시,66,5.8,558,O,29.0,GE
86,FEMALE,60대 이상,자영업,SINGLE,경기도,포천시,66,5.8,559,G,73.0,GC
86,FEMALE,60대 이상,자영업,SINGLE,경기도,포천시,66,5.8,560,K,68.0,GA
97,FEMALE,50대,직장인,MARRIED,광주시,서구(광주),66,5.4,625,H,80.0,GC
97,FEMALE,50대,직장인,MARRIED,광주시,서구(광주),66,5.4,626,P,24.0,GE
109,FEMALE,30대,직장인,MARRIED,광주시,동구(광주),44,3.1,708,L,107.0,GC
109,FEMALE,30대,직장인,MARRIED,광주시,동구(광주),44,3.1,709,G,79.0,GC
109,FEMALE,30대,직장인,MARRIED,광주시,동구(광주),44,3.1,710,O,31.0,GE
111,FEMALE,20대,계약직,SINGLE,서울시,양천구,44,5.0,718,G,76.0,GC
111,FEMALE,20대,계약직,SINGLE,서울시,양천구,44,5.0,719,C,73.0,GA
112,FEMALE,30대,자영업,SINGLE,광주시,북구(광주),44,5.5,726,H,72.0,GC
112,FEMALE,30대,자영업,SINGLE,광주시,북구(광주),44,5.5,727,H,73.0,GC
112,FEMALE,30대,자영업,SINGLE,광주시,북구(광주),44,5.5,728,H,72.0,GC
112,FEMALE,30대,자영업,SINGLE,광주시,북구(광주),44,5.5,729,J,55.0,GF
115,FEMALE,40대,자영업,MARRIED,광주시,북구(광주),44,4.6,745,D,55.0,GC
115,FEMALE,40대,자영업,MARRIED,광주시,북구(광주),44,4.6,746,J,65.0,GF
118,FEMALE,40대,직장인,MARRIED,대구시,북구(대구),55,3.8,766,L,99.0,GC
118,FEMALE,40대,직장인,MARRIED,대구시,북구(대구),55,3.8,767,F,39.0,GB
123,FEMALE,30대,직장인,MARRIED,서울시,양천구,66,4.8,803,H,72.0,GC
123,FEMALE,30대,직장인,MARRIED,서울시,양천구,66,4.8,804,O,25.0,GE
125,FEMALE,50대,자영업,SINGLE,대구시,수성구,55,6.7,819,H,76.0,GC
125,FEMALE,50대,자영업,SINGLE,대구시,수성구,55,6.7,820,T,53.0,GD
134,FEMALE,50대,계약직,SINGLE,경상도,하동군,55,5.3,875,D,61.0,GC
134,FEMALE,50대,계약직,SINGLE,경상도,하동군,55,5.3,876,R,35.0,GB
